IBM,Retro_source,Fhist_num,F_history,Catch,SSB,F,PED,PING,IAV
AIM,Catch,1,Fmsy,1.174442997,0.368443263,6.267432658,0.833333333,1,0.945228003
AIM,Catch,2,2.5 x Fmsy,0.70016642,0.249163836,5.427879311,1,1,0.533771537
AIM,M,1,Fmsy,1.217225277,1.531546248,0.772917507,0,0.2,0.324077701
AIM,M,2,2.5 x Fmsy,1.088262941,1.213725426,1.005523464,0,0.35,0.355402246
CC-FM,Catch,1,Fmsy,0.890177655,1.159256665,1.041591934,0,0.333333333,0.795738453
CC-FM,Catch,2,2.5 x Fmsy,0.407536343,1.120336766,0.505697618,0,0,0.613865323
CC-FM,M,1,Fmsy,0.566307455,2.308822921,0.226283045,0,0,0.540484192
CC-FM,M,2,2.5 x Fmsy,0.261038223,2.464018938,0.111250146,0,0,0.421931564
CC-FSPR,Catch,1,Fmsy,0.876508478,1.185707394,0.941436654,0,0.333333333,0.76642935
CC-FSPR,Catch,2,2.5 x Fmsy,0.399874009,1.099804746,0.503316378,0,0,0.599058147
CC-FSPR,M,1,Fmsy,0.564922867,2.291188574,0.222616724,0,0,0.537386739
CC-FSPR,M,2,2.5 x Fmsy,0.265206193,2.439643884,0.119084469,0,0,0.426263487
DLM,Catch,1,Fmsy,0.535862758,1.606164024,0.459904238,0,0,0.324802286
DLM,Catch,2,2.5 x Fmsy,0.381548314,0.76079957,1.01908331,0.166666667,0.45,0.356292363
DLM,M,1,Fmsy,0.576828532,2.22752248,0.289818919,0,0,0.314848598
DLM,M,2,2.5 x Fmsy,0.599687288,1.801166653,0.430574763,0,0,0.329029772
Ensemble,Catch,1,Fmsy,1.063011197,0.483403803,5.941261803,0.666666667,1,0.593294666
Ensemble,Catch,2,2.5 x Fmsy,0.658643775,0.368140704,3.644241968,0.833333333,1,0.386779886
Ensemble,M,1,Fmsy,0.976813797,1.801592131,0.526426821,0,0,0.183491603
Ensemble,M,2,2.5 x Fmsy,0.948119637,1.512776082,0.654998648,0,0.05,0.213375499
ES-FM,Catch,1,Fmsy,0.931663516,0.209414329,8.729852344,0.833333333,1,1.290975974
ES-FM,Catch,2,2.5 x Fmsy,0.708043983,0.276097489,4.606410834,1,1,0.477076172
ES-FM,M,1,Fmsy,1.163029246,1.60125321,0.698841487,0,0.1,0.294306693
ES-FM,M,2,2.5 x Fmsy,0.907896061,1.557964836,0.543914504,0,0,0.306383057
ES-Frecent,Catch,1,Fmsy,0.72470101,1.366163056,0.705286927,0,0,0.283155558
ES-Frecent,Catch,2,2.5 x Fmsy,0.482031708,0.588427403,1.454841179,0.333333333,0.75,0.30191896
ES-Frecent,M,1,Fmsy,0.761229285,1.983907144,0.40210386,0,0,0.273459249
ES-Frecent,M,2,2.5 x Fmsy,0.754673046,1.496136996,0.634727367,0,0,0.288222617
ES-FSPR,Catch,1,Fmsy,0.929705772,0.211364628,8.729852344,0.833333333,1,1.183259202
ES-FSPR,Catch,2,2.5 x Fmsy,0.708290225,0.281253824,4.728800596,1,1,0.455200475
ES-FSPR,M,1,Fmsy,1.156466971,1.605852382,0.698001088,0,0.1,0.295469994
ES-FSPR,M,2,2.5 x Fmsy,0.909532063,1.555727948,0.540807202,0,0,0.30819193
ES-Fstable,Catch,1,Fmsy,1.180326125,0.375524829,6.171814317,0.833333333,1,0.947035155
ES-Fstable,Catch,2,2.5 x Fmsy,0.705114916,0.251741848,5.356930164,1,1,0.534747937
ES-Fstable,M,1,Fmsy,1.212292316,1.533853724,0.777083196,0,0.2,0.328489876
ES-Fstable,M,2,2.5 x Fmsy,1.08273871,1.221378594,0.993257029,0,0.333333333,0.3582298
Islope,Catch,1,Fmsy,0.746239428,1.201598182,0.861774456,0,0.166666667,0.069027505
Islope,Catch,2,2.5 x Fmsy,0.494701429,0.487523318,1.9300051,0.55,1,0.096299036
Islope,M,1,Fmsy,0.799208613,1.764048377,0.516667189,0,0,0.071283633
Islope,M,2,2.5 x Fmsy,0.785716902,1.353753968,0.81462432,0,0.2,0.105963217
Itarget,Catch,1,Fmsy,1.352502242,0.563907695,5.150314182,0.55,0.85,0.925733016
Itarget,Catch,2,2.5 x Fmsy,0.681536866,0.464458651,2.839559593,0.65,0.6,0.798103791
Itarget,M,1,Fmsy,0.835051551,1.875617308,0.414091145,0,0,0.344488957
Itarget,M,2,2.5 x Fmsy,0.687453882,1.599157693,0.426369371,0,0,0.488736577
Ismooth,Catch,1,Fmsy,0.720179378,1.481674664,0.619558458,0,0,0.161869018
Ismooth,Catch,2,2.5 x Fmsy,0.467317041,0.668592268,1.225537077,0.166666667,0.666666667,0.169586101
Ismooth,M,1,Fmsy,0.727509114,2.108637043,0.353963328,0,0,0.162880495
Ismooth,M,2,2.5 x Fmsy,0.714804024,1.63412075,0.536685389,0,0,0.175456648
SCAA,Catch,1,Fmsy,1.319103682,0.458053494,4.67398077,0.666666667,0.75,0.763490897
SCAA,Catch,2,2.5 x Fmsy,0.700750168,0.788374163,0.973852385,0.166666667,0.4,0.239660136
SCAA,M,1,Fmsy,0.750691422,2.181822212,0.286630684,0,0,0.177177434
SCAA,M,2,2.5 x Fmsy,0.558198858,2.084559115,0.21290243,0,0,0.214465886
Skate,Catch,1,Fmsy,0.989974322,0.232532416,8.729852344,0.833333333,1,1.435893415
Skate,Catch,2,2.5 x Fmsy,0.579803147,0.1495751,8.729852344,1,1,0.567240857
Skate,M,1,Fmsy,1.304154372,1.366511232,1.091771042,0,0.45,0.223772584
Skate,M,2,2.5 x Fmsy,1.121205989,1.060903704,1.442086033,0.1,0.55,0.300348984